date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
2017-04-06,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,DC,20002,,,Web,2017-04-06,Closed with explanation,true,No,2421040
2017-04-01,Credit card,,Customer service / Customer relations,,,,CAPITAL ONE FINANCIAL CORPORATION,TN,371XX,Servicemember,,Web,2017-04-01,Closed with explanation,true,No,2414717
2016-02-08,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,27703,,N/A,Postal mail,2016-02-08,Closed with explanation,true,No,1776912
2017-04-21,Debt collection,Payday loan,Disclosure verification of debt,Right to dispute notice not received,,,SPEEDY CASH INTERMEDIATE HOLDINGS CORP,TX,773XX,,,Web,2017-04-21,Closed with explanation,true,No,2444768
2017-04-16,Debt collection,Auto,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"American Credit Acceptance, LLC",TX,76210,,Consent not provided,Web,2017-04-16,Closed with explanation,true,No,2437313
2017-03-17,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",LA,71292,,Consent not provided,Web,2017-03-18,Closed with non-monetary relief,true,No,2389782
2017-04-18,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,JPMORGAN CHASE & CO.,MD,20772,,N/A,Referral,2017-04-19,Closed with explanation,true,No,2439594
2017-03-04,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NC,27597,,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371691
2017-04-17,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11221,,N/A,Referral,2017-04-18,Closed with explanation,true,No,2437915
2017-03-04,Bank account or service,Checking account,"Account opening, closing, or management",,"My wife and I visited the Chase Bank branch at XXXX, XXXX, KY on XX/XX/2017 around XXXX AM to open new checking accounts. We were prompted to open these checking accounts because Chase mailed and emailed us vouchers to receive {$300.00} for opening each account and personal friends had also referred us. XXXX was assigned to assist us in this matter. His first question to us was "" where do you work? "". After informing him that we are both were XXXX employees he asked us what we were going to do with our XXXX accounts. We advised him we would be keeping those accounts open. He then asked what we would be using our new Chase accounts for and I advised we would be using those accounts for miscellaneous savings, etc. It was then that XXXX XXXX advised he would not be opening the new accounts for us unless we closed our XXXX accounts and he tossed the Chase Voucher and our ID 's back across the desk to us ( RUDE! ). Confused, I questioned him further about this and he advised that he did not believe we were going to use our new Chase accounts and would just close them in 6 months. Upon clarifying that we would indeed keep the Chase accounts open and meet all of the requirements of the offer he stated that we would not be closing our XXXX accounts. He reiterated that he would not open the accounts for us and advised that he would get his manager XXXX involved. When XXXX XXXX arrived in the office to speak with us she advised that Chase would not be honoring the vouchers and would not open accounts for us because XXXX XXXX told her we were not planning to keep the accounts open and would not be "" using '' the accounts. I advised XXXX XXXX that we intended to meet the minimum requirements ( set up direct deposit and keep the account open for 6 months ) and would keep the accounts open further if we enjoyed the service we received from Chase during that time. I advised we intended to have direct deposit active on the accounts and would be moving money in and out of the accounts, but she did not seem to believe that was qualifying usage of the accounts. She then advised that I had previously opened a Chase account with a coupon about 10 years ago and did not keep it open. However, I believe that account was my primary checking account and I did keep it open for the required period of time and more. It was only when I moved out of state that I closed the account because I did not know if there would be Chase branches in my new area. I am deeply insulted by my experience in trying to open these new accounts and feel that my wife and I have been discriminated against because of our employment with another banking institute. In addition to this occurrence while my wife and I we waiting in the lobby to meet with XXXX XXXX we both were able to clearly observe XXXX 's business interactions with another customer who was in his cubicle/office which has an open door and clear glass windows. We were able to hear their entire conversation and at a certain point XXXX XXXX pulled that customer 's XXXX score. After pulling the XXXX score up on his monitor he swiveled the monitor around so that it was facing directly out the window into the lobby and I could clearly see the customer 's score was XXXX. Being in the banking business I understand well that this is a clear violation of Customer Confidentiality regulations and should be dealt with as such.",,JPMORGAN CHASE & CO.,KY,423XX,,Consent provided,Web,2017-03-04,Closed with explanation,true,Yes,2371744
2017-03-27,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Nationwide Biweekly Administration, Inc.",TX,78705,Older American,,Web,2017-03-27,Closed with explanation,true,No,2404727
2017-03-21,Credit reporting,,Incorrect information on credit report,Account terms,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,34275,,Consent not provided,Web,2017-03-21,Closed with explanation,true,No,2397793
2017-04-21,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,CO,802XX,Older American,,Web,2017-04-21,Closed with explanation,true,No,2444582
2017-03-04,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,The service representative was harsh and not listening to my questions. Attempting to collect on a debt I thought was in a grace period because I had just finished school in XXXX and it is only XXXX. Why would know one contact me prior to this? I let her know I could n't afford the XXXX a month and I needed to lower my payments. They were aggressive and unwilling to hear it. I fully intend on paying my loans just needs to be something I can afford monthly as to not overextend myself. Hate that my loans even ended up with Navient.,,"Navient Solutions, LLC.",OK,741XX,,Consent provided,Web,2017-03-04,Closed with explanation,true,No,2371928
2017-04-17,Prepaid card,Payroll card,"Managing, opening, or closing account",,,,NETSPEND CORPORATION,CA,900XX,,,Web,2017-04-18,In progress,true,No,2439263
2017-04-07,Mortgage,Other mortgage,Other,,,,OCWEN LOAN SERVICING LLC,WA,98223,,N/A,Postal mail,2017-04-07,Closed with explanation,true,No,2424942
2017-03-04,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",PA,19148,Servicemember,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371893
2017-04-17,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,VA,221XX,,,Web,2017-04-17,Closed with explanation,true,No,2438700
2017-04-18,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",VA,23113,Older American,Consent not provided,Web,2017-04-18,Closed with explanation,true,No,2440213
2014-10-23,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92879,,N/A,Referral,2014-10-28,Closed with explanation,true,No,1084242
