County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Queens,639187,Store,A,TOYS R US DELAWARE INC,TOYS R US #6322,61ST,AVE & DOUGLASTON PKWY,,,LITTLE NECK,NY,11363,0,
Bronx,601536,Store,JAC,EAST 233 FOOD CORP,FINE FARE SUPERMARKET,1199,E 233RD ST,,,BRONX,NY,10466,14000,POINT (-73.843364 40.888923)
Clinton,709612,Store,JACW,FORTIN MARY G & GILLES M,AMAZING GRACE VINEYARD,9839,RT 9,,,CHAZY,NY,12921,1500,POINT (-73.436335 44.901365)
Kings,619459,Store,JAC,STANKOWSKI ZBIGNIEW,STAR DELI&BAKERY,176,NASSAU AVE,,,BROOKLYN,NY,11222,1000,POINT (-73.946184 40.725291)
Kings,746166,Store,JAC,EL NUEVO TAMARINDO DELI GROCERY C,EL NUEVO TAMARINDO DELI,1729,86TH STREET,,,BROOKLYN,NY,11214,1500,POINT (-74.003786 40.607951)
Jefferson,721374,Store,JAC,BOTTLE CAPS BEVERAGE CTR INC,BOTTLE CAPS,952,ARSENAL ST,,,WATERTOWN,NY,13601,800,POINT (-75.933884 43.976733)
Erie,749669,Store,JAC,RAHMA FOODS LLC,RAHMA  SUPERMARKET,975,BROADWAY,,,BUFFALO,NY,14212,0,POINT (-78.838619 42.893137)
Kings,709004,Store,A,HEALTH MAX 5TH AVENUE INC,HEALTH MAX PHARMACY,5313,5TH AVE,,,BROOKLYN,NY,11220,10000,
Kings,612927,Store,JAC,SSS SUNFLOWER CORP,SUNFLOWER FOOD MARKET,2409,65TH ST,,,BROOKLYN,NY,11204,1500,POINT (-73.976674 40.610969)
Oswego,350044,Store,JAC,KTM SCRIBA OPERATIONS INC,KTM MINI MART,2203,CTY RT 1,,,OSWEGO,NY,13126,2400,
Bronx,748352,Store,A,MOEBUCKS FOOD CORP,MOEBUCKS FOOD,2444,E TREMONT AVE,,,BRONX,NY,10461,700,POINT (-73.851789 40.842649)
Rensselaer,720186,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #06702,21299,STATE RT 22,,,HOOSICK FALLS,NY,12090,0,POINT (-73.358019 42.880936)
Cattaraugus,742267,Store,JAC,A PLUS CONVENIENCE STORES INC,7 ELEVEN STORE #35095B,183,W MAIN ST,,,ALLEGANY,NY,14706,2500,POINT (-78.500017 42.094253)
Oneida,300408,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6469,131,ORISKANY BLVD SUITE 7,,,WHITESBORO,NY,13492,6800,POINT (-75.292991 43.118989)
Queens,740179,Store,JAC,7 STAR GOURMET DELI INC,7 STAR GOURMET DELI,122-23,GUY R BREWER BLVD,,,JAMAICA,NY,11434,1000,POINT (-73.779632 40.678553)
New York,628645,Store,JAC,PRAMUKH 16 INC,NATURAL HEALTH FOOD MAR,162,3RD AVE,,,NEW YORK,NY,10003,2000,POINT (-73.986302 40.734507)
Bronx,609834,Store,JAC,JSMD FOOD CORP,C TOWN 054,100,HUGH J GRANT CIRCLE,,,BRONX,NY,10472,8000,POINT (-73.860947 40.832672)
Kings,750173,Store,JAC,A&J DELI MARKET CORP,A&J DELI MARKET,5004,3RD AVENUE,,,BROOKLYN,NY,11220,500,POINT (-74.014879 40.647636)
Bronx,608536,Store,A,DOLLAR RESORT INC,DOLLAR RESORT,190,EAST 167 ST,,,BRONX,NY,10456,0,POINT (-73.917169 40.834221)
New York,625828,Store,A,WILLIAMS SONOMA INC,WILLIAMS SONOMA,10,COLUMBUS CIRCLE,,,NEW YORK,NY,10019,8000,POINT (-73.9827 40.7674)
Oswego,350173,Store,A,BURT GOODNOUGHS MARINA EAST INC,BURT GOODNOUGHS MARINA,9245,ST RTE 3,,,SANDY CREEK,NY,13145,200,POINT (-76.171808 43.676849)
